profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
rn-icu,0,AZ,MORTGAGE,"75,000",6.03,1991,20,203900,"16,674",medical,6500,36,7.35,202,7933,20,,18-Jan
rental management,10,WY,MORTGAGE,"84,000",5.71,1991,37,241162,"11,513",credit_card,9975,36,6.08,304,11794,30,,18-Jan
systems analyst,10,AZ,MORTGAGE,"85,209",5.67,1991,21,247367,"48,716",home_improvement,4300,36,6.07,131,5083,13,,18-Mar
key accounts manager,4,FL,RENT,"135,000",5.07,1991,21,41000,"14,408",credit_card,15000,60,9.92,318,22440,32,,18-Mar
guidance counselor,10,NY,OWN,"100,000",4.94,1991,26,73579,"17,273",home_improvement,12000,36,7.34,372,14642,37,,18-Mar
supervisor call center,0,CA,RENT,"28,000",4.71,1991,4,10400,"3,328",debt_consolidation,21000,60,26.77,638,49109,64,,18-Mar
accounts receivable coordinator,4,FL,MORTGAGE,"275,000",4.57,1991,43,88012,"51,415",credit_card,12000,36,10.91,392,15928,39,,18-Jan
foreman ,6,HI,RENT,"95,000",3.94,1991,9,18600,"5,450",debt_consolidation,7000,36,6.72,215,8411,22,,18-Feb
,,MI,MORTGAGE,"47,000",3.93,1991,9,21500,"3,618",credit_card,6000,36,9.92,193,7786,19,,18-Mar
sr planning & analysis anst,10,FL,MORTGAGE,"100,000",3.23,1991,26,253475,"12,302",credit_card,14400,36,6.72,443,17303,44,,18-Jan
traffic manager,10,NY,RENT,"105,000",1.85,1991,7,32700,"2,679",debt_consolidation,15000,36,7.34,466,18303,47,,18-Mar
mgr it application,10,IL,MORTGAGE,"148,650",0.53,1991,28,789400,"4,078",debt_consolidation,40000,60,7.35,799,54700,80,,18-Feb
owner,10,VA,MORTGAGE,"12,000",204.13,1992,19,406818,"86,236",debt_consolidation,29000,60,7.35,579,39658,58,,18-Jan
mechanic,9,MN,MORTGAGE,"60,000",63.45,1992,39,600379,"120,779",debt_consolidation,35000,60,6.71,688,46743,69,,18-Mar
teacher,10,MT,RENT,"59,000",41.86,1992,21,107162,"66,781",debt_consolidation,40000,36,6.07,"1,218",47284,122,,18-Mar
special education secretary,10,PA,MORTGAGE,"51,000",39.27,1992,21,462123,"154,329",debt_consolidation,36000,60,10.9,781,55620,78,,18-Mar
president,10,FL,MORTGAGE,"80,000",38.73,1992,24,429460,"77,224",debt_consolidation,28000,36,21.85,"1,067",46354,107,,18-Mar
administrative assistant,9,TX,MORTGAGE,"41,787",37.74,1992,32,42639,"36,441",credit_card,12800,36,18.06,463,19735,46,,18-Jan
realtor,10,ID,MORTGAGE,"64,874",37.51,1992,48,104508,"59,212",debt_consolidation,21200,36,18.06,767,32686,77,,18-Feb
,,NJ,RENT,"90,000",37.03,1992,35,268885,"92,947",debt_consolidation,9200,36,12.61,308,12680,31,,18-Mar
business loan counselor officer,0,CA,RENT,"55,000",36.9,1992,13,66524,"52,474",debt_consolidation,15000,36,21.45,569,24653,57,,18-Jan
medical records,8,FL,MORTGAGE,"40,000",36.6,1992,27,56670,"28,252",home_improvement,19675,60,24.84,576,44111,58,,18-Mar
human resources manager,10,TX,OWN,"109,000",35.1,1992,47,596115,"122,490",debt_consolidation,30000,36,12.61,"1,005",41349,101,,18-Mar
,,PA,MORTGAGE,"46,800",32.41,1992,35,138114,"40,270",debt_consolidation,6000,36,12.61,201,8270,20,,18-Mar
custodial,10,NY,MORTGAGE,"40,000",32.34,1992,40,75917,"56,614",credit_card,5000,36,14.08,171,7112,17,,18-Jan
restaurant manager,9,MN,MORTGAGE,"40,000",31.44,1992,20,139729,"41,442",debt_consolidation,6400,36,11.99,213,8702,21,,18-Jan
business analysis,1,NC,OWN,"165,000",31.09,1992,34,667279,"201,020",debt_consolidation,14000,60,9.92,297,20944,30,,18-Mar
cashier,1,TN,RENT,"29,982",30.9,1992,17,43991,"32,330",debt_consolidation,4000,36,22.91,155,6749,15,,18-Feb
public affairs officer,10,TX,MORTGAGE,"107,611",30.51,1992,45,218860,"93,021",debt_consolidation,40000,60,9.44,839,58880,84,,18-Feb
foreman,10,CT,OWN,"75,000",30.46,1992,19,208615,"105,765",home_improvement,35000,36,19.03,"1,284",54982,128,,18-Feb
contracts manager,0,NC,OWN,"50,000",30.33,1992,55,311875,"60,361",other,30000,60,15.05,714,52575,71,,18-Jan
lawyer/owner,10,TX,MORTGAGE,"90,000",30.01,1992,31,296420,"99,071",debt_consolidation,30000,36,11.99,996,40791,100,,18-Mar
,,NC,MORTGAGE,"36,000",29.73,1992,15,108527,"17,040",credit_card,16000,60,23.88,459,35104,46,,18-Jan
administrative,10,MI,MORTGAGE,"80,000",29.34,1992,24,215197,"80,407",debt_consolidation,35000,60,21.45,956,72538,96,,18-Jan
lead sales associate,10,CA,MORTGAGE,"53,000",28.92,1992,28,471060,"18,957",vacation,5000,36,10.41,162,6562,16,,18-Mar
registered nurse,7,GA,MORTGAGE,"94,000",28.85,1992,41,472292,"176,525",debt_consolidation,8400,36,10.9,275,11147,27,,18-Mar
realtor,8,MA,OWN,"70,000",28.74,1992,16,89841,"41,864",home_improvement,10000,36,6.72,308,12016,31,,18-Feb
logistics specialist,5,VA,MORTGAGE,"179,443",28.14,1992,38,555371,"180,125",debt_consolidation,36025,36,10.91,"1,178",47816,118,,18-Jan
insurance agent,5,SC,MORTGAGE,"64,000",27.94,1992,38,135759,"42,678",debt_consolidation,16000,60,13.59,369,26872,37,,18-Feb
,,NC,RENT,"44,088",27.93,1992,32,71174,"37,694",debt_consolidation,10000,36,13.59,340,14077,34,,18-Feb
admin asst,4,PA,MORTGAGE,"57,000",27.85,1992,39,86111,"38,554",other,16000,36,10.9,523,21232,52,,18-Mar
registered nurse,10,MI,MORTGAGE,"78,000",27.78,1992,20,291354,"72,257",credit_card,15000,36,10.42,487,19689,49,,18-Jan
account manager,10,SC,MORTGAGE,"103,000",27.37,1992,23,227088,"64,793",debt_consolidation,24000,60,14.07,559,40884,56,,18-Mar
security officer,3,NY,OWN,"48,028",26.79,1992,22,52426,"36,883",debt_consolidation,20000,60,17.47,502,37470,50,,18-Mar
pharmacy manager,2,TX,MORTGAGE,"120,000",26.22,1992,28,563200,"72,328",debt_consolidation,36000,36,6.08,"1,097",42566,110,,18-Mar
sr electrical engineer,10,PA,OWN,"107,000",26.18,1992,33,158587,"69,209",debt_consolidation,16000,36,6.72,492,19226,49,,18-Jan
inside sales,2,MO,MORTGAGE,"41,000",25.67,1992,74,187370,"30,465",credit_card,10000,36,6.72,308,12016,31,,18-Jan
teacher,10,MN,MORTGAGE,"61,000",25.65,1992,31,171656,"36,135",debt_consolidation,8000,36,6.71,246,9610,25,,18-Feb
assistant manager,10,NV,RENT,"80,000",25.59,1992,28,90484,"69,090",debt_consolidation,21000,36,10.42,682,27565,68,,18-Jan
,,AL,MORTGAGE,"58,000",25.37,1992,38,167771,"60,302",credit_card,20000,36,16.02,703,29612,70,,18-Feb
office manager,2,MN,MORTGAGE,"35,000",24.77,1992,22,123245,"34,245",debt_consolidation,40000,60,11.99,890,63980,89,,18-Jan
meat wrapper,10,MI,MORTGAGE,"32,248",24.71,1992,29,113286,"24,243",credit_card,10000,60,16.02,243,18010,24,,18-Jan
radiology,10,MI,MORTGAGE,"36,000",24.37,1992,27,203884,"25,327",debt_consolidation,16000,36,6.08,487,18918,49,,18-Jan
captain,9,CO,MORTGAGE,"97,000",24.32,1992,13,415603,"46,872",debt_consolidation,35000,36,6.08,"1,066",41384,107,,18-Jan
,,GA,MORTGAGE,"55,296",24.26,1992,42,329220,"49,921",debt_consolidation,20000,60,21.85,551,41850,55,,18-Mar
research health science specialist ,10,UT,MORTGAGE,"105,000",24.03,1992,60,713149,"120,982",debt_consolidation,26000,36,10.91,850,34510,85,,18-Feb
office manager,7,CA,RENT,"50,000",23.84,1992,18,39861,"11,773",debt_consolidation,7500,36,19.03,275,11782,28,,18-Feb
detention transportion officer,5,NY,MORTGAGE,"140,000",23.84,1992,21,389440,"239,349",credit_card,40000,36,7.97,"1,253",49564,125,,18-Feb
vp,1,CA,OWN,"185,000",23.77,1992,31,612835,"118,058",debt_consolidation,35000,60,18.06,890,66605,89,,18-Jan
,,OH,MORTGAGE,"36,000",23.72,1992,32,58799,"34,369",debt_consolidation,18000,60,13.59,415,30231,42,,18-Feb
director of national accounts,3,PA,MORTGAGE,"135,000",23.66,1992,21,251116,"109,072",debt_consolidation,20000,36,5.32,602,23192,60,,18-Jan
production specialist,10,AZ,RENT,"45,000",23.52,1992,23,35247,"17,637",debt_consolidation,1500,36,19.42,55,2374,6,,18-Mar
manager,10,NC,RENT,"56,000",23.36,1992,33,60378,"63,267",credit_card,7500,36,10.42,243,9845,24,,18-Feb
consultant,1,NC,MORTGAGE,"170,000",22.66,1992,31,349067,"101,835",debt_consolidation,24000,36,13.58,815,33778,82,,18-Mar
manager,4,MA,OWN,"89,000",21.91,1992,21,73791,"40,227",credit_card,20000,36,16.02,703,29612,70,,18-Jan
access service librarian,10,OH,MORTGAGE,"64,000",21.85,1992,32,57059,"39,327",home_improvement,15000,60,11.99,334,23993,33,,18-Jan
director of finance,0,CA,MORTGAGE,"100,000",21.71,1992,44,420116,"81,110",debt_consolidation,16000,60,9.93,339,23944,34,,18-Jan
mechanic,10,TX,OWN,"60,000",21.6,1992,20,47831,"39,268",credit_card,12800,60,14.08,298,21811,30,,18-Jan
leasing professional,1,TX,RENT,"24,000",21.54,1992,22,31100,"15,968",credit_card,5000,36,9.44,160,6416,16,,18-Jan
cio,10,GA,MORTGAGE,"215,000",21.49,1992,51,777554,"122,743",home_improvement,25000,36,6.08,761,29560,76,,18-Jan
production,10,KS,MORTGAGE,"64,000",20.81,1992,29,107367,"40,410",debt_consolidation,15000,36,11.99,498,20396,50,,18-Feb
,,IN,MORTGAGE,"65,000",20.55,1992,55,230475,"36,741",debt_consolidation,24000,36,14.08,821,34138,82,,18-Jan
vp - project manager,10,IL,MORTGAGE,"128,000",20.53,1992,21,304791,"137,723",debt_consolidation,30000,60,9.93,636,44895,64,,18-Feb
sterile processor,1,AL,MORTGAGE,"69,116",20.33,1992,45,250101,"42,326",debt_consolidation,15000,36,21.45,569,24653,57,,18-Jan
process laboratory technician,5,LA,MORTGAGE,"58,000",20.28,1992,14,228970,"26,981",debt_consolidation,25000,36,9.92,806,32440,81,,18-Feb
officer,10,VA,MORTGAGE,"142,000",20.25,1992,67,976357,"402,798",debt_consolidation,40000,36,6.08,"1,218",47296,122,,18-Feb
faculty,10,MD,MORTGAGE,"81,000",20.24,1992,13,302710,"41,767",credit_card,14000,36,12.61,469,19296,47,,18-Mar
president,10,CA,MORTGAGE,"180,000",19.87,1992,21,604097,"92,012",other,12000,60,13.59,277,20154,28,,18-Jan
caretaker,4,ME,OWN,"71,000",19.74,1992,22,343590,"41,527",credit_card,12000,36,5.32,361,13915,36,,18-Jan
faculty,5,IN,MORTGAGE,"90,000",19.55,1992,67,317926,"94,472",home_improvement,5000,36,6.08,152,5912,15,,18-Jan
rehab officer,10,CA,MORTGAGE,"107,000",19.54,1992,24,594772,"68,205",debt_consolidation,40000,60,16.02,973,72040,97,,18-Jan
rn,10,CO,MORTGAGE,"120,000",19.43,1992,42,551667,"195,735",credit_card,12000,36,9.93,387,15575,39,,18-Feb
aircraft technician,8,GA,MORTGAGE,"78,000",18.57,1992,29,219259,"14,318",medical,3025,36,20,112,4840,11,,18-Jan
satellite network engineer,4,LA,OWN,"81,000",18.5,1992,62,93778,"16,303",home_improvement,12000,36,9.43,384,15395,38,,18-Mar
"sr director, risk management",6,CA,RENT,"175,000",18.33,1992,35,166863,"98,811",credit_card,35000,60,19.42,916,68985,92,,18-Feb
attorney/partner ,10,FL,MORTGAGE,"485,000",18.05,1992,35,1552212,"394,812",debt_consolidation,30000,60,11.99,667,47985,67,,18-Jan
branch manager,10,NV,MORTGAGE,"185,000",17.96,1992,26,430223,"75,695",debt_consolidation,25000,36,6.07,761,29553,76,,18-Feb
sales representative t,6,FL,OWN,"92,000",17.94,1992,18,112087,"57,802",debt_consolidation,20000,36,10.42,649,26252,65,,18-Feb
bus driver,4,NY,MORTGAGE,"70,000",17.56,1992,16,267870,"33,657",debt_consolidation,23650,36,5.32,712,27425,71,,18-Mar
sr operations manager,10,TX,MORTGAGE,"80,000",17.53,1992,14,228305,"34,744",credit_card,8000,36,7.96,251,9910,25,,18-Mar
supervisor,10,IL,MORTGAGE,"150,000",17.37,1992,57,307454,"69,003",credit_card,35000,60,21.45,956,72538,96,,18-Jan
supervisor,8,FL,MORTGAGE,"33,000",17.2,1992,12,174900,"21,684",debt_consolidation,32000,60,14.08,746,54528,75,,18-Feb
manager,10,TX,MORTGAGE,"70,000",16.78,1992,30,291323,"60,206",debt_consolidation,15000,36,10.9,490,19905,49,,18-Mar
loan officer/asst vice president,10,MS,MORTGAGE,"45,000",16.56,1992,13,193014,"19,041",other,8000,36,18.06,289,12334,29,,18-Jan
contract manager,10,GA,MORTGAGE,"132,000",16.4,1992,50,641601,"153,246",debt_consolidation,23525,60,14.08,548,40087,55,,18-Jan
city carrier,10,CO,MORTGAGE,"100,000",16.32,1992,44,575674,"30,400",debt_consolidation,40000,36,5.32,"1,205",46384,120,,18-Feb
correction officer,10,NY,MORTGAGE,"160,000",16.11,1992,41,530218,"45,040",home_improvement,35000,60,20.39,935,70683,93,,18-Mar
electrical maintenance,0,AL,MORTGAGE,"80,000",15.99,1992,24,189340,"41,246",credit_card,20000,36,5.31,602,23186,60,,18-Mar
bsa investigator,4,TX,MORTGAGE,"85,000",15.84,1992,16,120964,"53,665",debt_consolidation,6500,36,10.41,211,8530,21,,18-Mar
service director,9,IL,MORTGAGE,"142,000",15.48,1992,26,350863,"33,176",other,27000,60,13.59,623,45347,62,,18-Jan
executive adminstrative,10,CA,RENT,"70,000",15.1,1992,30,67496,"23,579",debt_consolidation,3000,36,14.08,103,4267,10,,18-Jan
senior loan officer,5,CA,MORTGAGE,"130,000",15.02,1992,20,74706,"37,253",debt_consolidation,21000,60,15.05,500,36803,50,,18-Jan
regional sales manager,0,TX,MORTGAGE,"275,000",14.66,1992,42,603684,"113,274",debt_consolidation,19000,60,7.35,379,25983,38,,18-Feb
vp/portfolio manager,5,NV,MORTGAGE,"117,000",14.57,1992,18,138073,"34,879",home_improvement,1700,36,9.44,54,2181,5,,18-Jan
,,WV,MORTGAGE,"56,000",14.51,1992,26,337700,"19,342",debt_consolidation,12000,60,17.47,301,22482,30,,18-Mar
mail carrier,3,TX,MORTGAGE,"86,000",14.34,1992,31,202300,"41,598",debt_consolidation,10000,36,20.39,374,16117,37,,18-Mar
software management directo,5,TX,MORTGAGE,"150,000",14.32,1992,11,96800,"54,464",debt_consolidation,15000,36,7.97,470,18587,47,,18-Jan
justice of the peace judge,10,DE,MORTGAGE,"79,000",14.11,1992,14,307858,"49,543",debt_consolidation,3200,36,20,119,5120,12,,18-Jan
surveyor ,8,AZ,MORTGAGE,"47,000",12.95,1992,12,202300,"11,970",debt_consolidation,5600,36,19.03,205,8797,21,,18-Jan
owner,10,NY,MORTGAGE,"110,000",12.68,1992,10,49288,"46,472",debt_consolidation,24000,36,10.42,779,31502,78,,18-Feb
loan officer,5,TX,MORTGAGE,"82,000",12.56,1992,27,226500,"26,503",debt_consolidation,12000,36,10.41,390,15748,39,,18-Mar
owner,5,MT,RENT,"90,000",12.4,1992,17,69800,"37,258",small_business,30000,36,7.96,940,37164,94,,18-Mar
pharmacist,10,NC,MORTGAGE,"103,000",12.37,1992,22,259559,"50,241",debt_consolidation,6000,36,13.59,204,8446,20,,18-Jan
general manager,2,CA,RENT,"130,000",12.04,1992,20,106431,"64,557",credit_card,5000,36,7.96,157,6194,16,,18-Mar
chef,10,VA,RENT,"108,000",11.96,1992,6,52000,"29,768",debt_consolidation,40000,36,9.44,"1,280",51328,128,,18-Feb
field service technician,10,NC,MORTGAGE,"59,000",11.33,1992,15,153693,"21,819",moving,8000,36,9.93,258,10383,26,,18-Feb
sr account executive,9,CA,MORTGAGE,"140,000",11.16,1992,20,464400,"51,379",credit_card,36000,36,6.07,"1,096",42556,110,,18-Mar
account executive,3,TX,RENT,"50,000",10.78,1992,17,28900,"9,949",debt_consolidation,12000,60,26.3,361,27780,36,,18-Feb
principal,10,IN,MORTGAGE,"294,000",10.72,1992,40,790483,"148,546",home_improvement,31075,60,10.9,674,48011,67,,18-Feb
"supervisor, ada field surveillance",10,NJ,MORTGAGE,"69,000",10.58,1992,25,34438,"10,082",debt_consolidation,20000,60,12.62,451,32620,45,,18-Jan
training manager ,10,NY,MORTGAGE,"65,000",10.34,1992,19,38843,"3,335",debt_consolidation,10000,60,9.44,210,14720,21,,18-Feb
accounting manager,10,MA,MORTGAGE,"150,000",9.86,1992,39,801603,"32,279",credit_card,20000,60,7.34,399,27340,40,,18-Mar
director of nursing,1,NJ,RENT,"115,000",9.62,1992,14,50672,"38,635",debt_consolidation,14000,36,11.99,465,19036,46,,18-Jan
consultant,10,CA,OWN,"220,000",9.19,1992,23,355259,"94,517",debt_consolidation,3500,36,5.31,105,4058,11,,18-Mar
general manager asset services,0,TX,MORTGAGE,"200,000",9.03,1992,17,414105,"48,277",debt_consolidation,35000,36,10.41,"1,136",45931,114,,18-Mar
community spport,1,MO,RENT,"55,232",8.45,1992,12,28200,"14,606",debt_consolidation,10000,36,9.44,320,12832,32,,18-Feb
,,PA,OWN,"60,000",8.12,1992,30,220658,"19,586",credit_card,5000,36,7.34,155,6101,16,,18-Mar
driver,2,TX,RENT,"34,626",8.08,1992,23,109616,"146,933",other,2200,36,18.06,80,3392,8,,18-Jan
escrow manager,10,CA,MORTGAGE,"150,000",7.89,1992,22,96633,"43,253",medical,15000,36,7.97,470,18587,47,,18-Feb
dockworker,3,PA,OWN,"70,000",7.75,1992,11,68800,"19,857",debt_consolidation,10000,60,9.44,210,14720,21,,18-Feb
relationship manager,0,LA,MORTGAGE,"256,000",7.24,1992,21,367900,"44,822",debt_consolidation,20000,60,11.99,445,31990,44,,18-Feb
bartender,10,NV,MORTGAGE,"95,000",6.7,1992,34,34277,"7,402",debt_consolidation,20000,36,9.43,640,25658,64,,18-Mar
,,MI,OWN,"43,188",6.67,1992,10,29500,"10,452",other,3000,36,13.59,102,4223,10,,18-Feb
prep touch up,3,TX,RENT,"35,568",6.31,1992,12,11124,"3,633",major_purchase,2400,36,9.44,77,3080,8,,18-Jan
owner/office manager,5,IN,OWN,"45,000",4.85,1992,8,121323,"7,079",debt_consolidation,9000,36,15.04,312,13061,31,,18-Feb
fixer,10,NC,MORTGAGE,"70,000",3.59,1992,21,140272,"2,859",debt_consolidation,3000,36,9.92,97,3893,10,,18-Feb
chief operating officer,5,CA,RENT,"180,000",2.91,1992,14,104664,"104,874",house,24000,36,9.93,774,31150,77,,18-Feb
engineer ,2,CO,MORTGAGE,"70,000",2.09,1992,9,327900,"4,459",debt_consolidation,15000,36,5.31,452,17390,45,,18-Mar
business development,3,NY,RENT,"120,000",1.75,1992,8,7000,"1,200",debt_consolidation,30000,60,12.62,677,48930,68,,18-Jan
,,LA,MORTGAGE,"27,000",148.04,1993,35,367272,"139,010",credit_card,25000,60,14.08,583,42600,58,,18-Feb
bus driver,0,IL,MORTGAGE,"10,000",100.72,1993,31,297893,"25,811",debt_consolidation,40000,36,7.34,"1,241",48808,124,,18-Mar
teller,6,KY,MORTGAGE,"31,304",85.01,1993,22,148280,"93,224",debt_consolidation,34800,36,10.41,"1,130",45668,113,,18-Mar
6th grade teacher,0,CA,RENT,"55,000",41.72,1993,14,146629,"137,231",debt_consolidation,12000,36,13.59,408,16892,41,,18-Jan
it professional,1,FL,MORTGAGE,"120,000",40.7,1993,33,709506,"114,636",debt_consolidation,13425,36,21.85,512,22225,51,,18-Mar
cook,8,GA,MORTGAGE,"53,701",36.53,1993,23,122772,"35,521",home_improvement,12950,60,17.47,325,24262,33,,18-Mar
logistics spealist,10,OK,MORTGAGE,"160,482",36.19,1993,46,780142,"192,084",debt_consolidation,12000,36,7.96,376,14866,38,,18-Mar
attorney,10,OH,OWN,"76,000",36.13,1993,42,244261,"143,193",debt_consolidation,33600,36,12.62,"1,126",46321,113,,18-Jan
office manager,10,CT,MORTGAGE,"51,800",35.38,1993,21,126947,"85,074",debt_consolidation,7000,36,7.97,219,8674,22,,18-Feb
human resources generalist,1,AL,MORTGAGE,"48,000",35.1,1993,18,259835,"37,303",credit_card,32000,60,11.98,712,51168,71,,18-Mar
lab tester,10,KS,MORTGAGE,"82,000",35.02,1993,48,383071,"98,687",debt_consolidation,10000,36,9.44,320,12832,32,,18-Jan
carpenter,10,AL,MORTGAGE,"40,000",34.59,1993,28,223793,"21,747",debt_consolidation,8400,36,7.97,263,10408,26,,18-Jan
asst manager,7,TX,MORTGAGE,"72,000",34.48,1993,33,349919,"69,329",debt_consolidation,5000,36,9.44,160,6416,16,,18-Feb
wealth mgmnt associate,9,CA,RENT,"67,000",33.28,1993,34,103200,"55,164",credit_card,18000,60,17.09,448,33381,45,,18-Jan
general manager,9,NE,MORTGAGE,"46,236",32.75,1993,21,36257,"29,780",other,8000,36,16.01,281,11842,28,,18-Feb
program assistant,10,MD,RENT,"67,760",30.69,1993,33,127486,"71,818",debt_consolidation,5300,36,9.43,170,6799,17,,18-Feb
,,WA,MORTGAGE,"76,892",30.67,1993,45,75633,"42,178",vacation,2000,36,17.09,71,3025,7,,18-Jan
,,MI,MORTGAGE,"17,000",30.44,1993,7,45543,"45,207",home_improvement,2700,36,12.62,90,3722,9,,18-Jan
regional operations manager,3,OH,MORTGAGE,"52,000",30.33,1993,18,108826,"21,203",major_purchase,18000,60,10.9,390,27810,39,,18-Feb
car hauler,10,MO,MORTGAGE,"95,000",30.13,1993,33,426809,"123,135",debt_consolidation,14900,60,10.42,320,22663,32,,18-Jan
staff rn,5,ID,MORTGAGE,"82,000",29.49,1993,24,442478,"66,677",debt_consolidation,25000,60,21.85,688,52313,69,,18-Mar
aviation safety inspector,4,GA,MORTGAGE,"134,315",29.45,1993,41,481747,"103,183",debt_consolidation,35000,36,13.58,"1,189",49259,119,,18-Mar
professor,10,MO,MORTGAGE,"84,500",29.19,1993,26,312460,"67,856",credit_card,20400,60,10.9,443,31518,44,,18-Mar
executive admin,9,MI,MORTGAGE,"70,000",29.13,1993,33,221171,"48,074",debt_consolidation,25000,36,11.99,830,33993,83,,18-Feb
owner ,10,CA,OWN,"100,000",28.99,1993,27,110147,"82,723",other,3000,36,17.47,108,4572,11,,18-Mar
office manager,7,FL,RENT,"70,000",28.58,1993,35,147723,"271,113",debt_consolidation,17000,60,18.06,432,32351,43,,18-Jan
e-9,10,AZ,MORTGAGE,"148,000",28.44,1993,32,330075,"266,484",debt_consolidation,25000,60,7.34,499,34175,50,,18-Mar
account manager,10,CO,MORTGAGE,"63,000",28.3,1993,38,306240,"68,939",debt_consolidation,24000,36,6.07,731,28370,73,,18-Feb
conusultant,2,TX,RENT,"170,000",27.57,1993,20,155259,"110,481",debt_consolidation,30000,60,28.72,947,73080,95,,18-Mar
hr dir,10,FL,MORTGAGE,"62,000",27.35,1993,22,224065,"55,522",debt_consolidation,4400,36,7.34,137,5369,14,,18-Mar
bdc manager,7,FL,OWN,"92,000",26.53,1993,32,130716,"83,110",debt_consolidation,19000,60,21.85,523,39758,52,,18-Mar
occupational therapist - level 3,10,TX,MORTGAGE,"190,000",26.5,1993,43,112527,"56,559",debt_consolidation,28550,36,9.93,920,37055,92,,18-Jan
teacher,10,MO,OWN,"55,000",26.23,1993,21,228000,"39,760",debt_consolidation,24000,36,19.03,880,37702,88,,18-Jan
senior graphic designer,0,FL,RENT,"59,000",25.43,1993,32,160612,"83,606",debt_consolidation,26000,36,13.59,883,36600,88,,18-Jan
pipefitter,10,OH,MORTGAGE,"84,240",25.33,1993,22,332925,"94,626",debt_consolidation,25200,60,10.9,547,38934,55,,18-Mar
banker,0,OH,MORTGAGE,"53,000",25.16,1993,43,212046,"43,698",debt_consolidation,12800,60,10.9,278,19776,28,,18-Mar
president ,10,NE,MORTGAGE,"90,000",24.89,1993,25,301204,"76,366",credit_card,20000,36,7.97,626,24782,63,,18-Jan
consultant,7,CA,MORTGAGE,"100,000",24.87,1993,15,132262,"68,419",medical,10000,36,9.93,322,12979,32,,18-Jan
carpenter,2,IN,RENT,"35,000",24.13,1993,12,38049,"18,681",debt_consolidation,5000,36,11.99,166,6799,17,,18-Feb
program coordinator ,1,FL,MORTGAGE,"122,000",24.01,1993,30,498195,"73,112",debt_consolidation,18000,36,11.98,598,24469,60,,18-Mar
aviation safety inspector,2,NC,RENT,"76,000",23.57,1993,19,109479,"58,102",car,10500,60,12.62,237,17126,24,,18-Feb
mortgage lending administrator,10,WA,MORTGAGE,"72,000",23.47,1993,34,355336,"59,056",other,4000,36,15.05,139,5806,14,,18-Jan
,,MS,OWN,"43,500",23.34,1993,51,63895,"27,041",debt_consolidation,3600,36,6.08,110,4257,11,,18-Jan
senior advisor,10,SC,MORTGAGE,"103,000",23.29,1993,51,281443,"77,237",major_purchase,2800,36,6.07,85,3310,9,,18-Mar
carpenter,10,MD,RENT,"46,000",23.24,1993,27,37872,"30,988",debt_consolidation,5000,36,16.02,176,7403,18,,18-Jan
credit analyst,2,CA,RENT,"126,000",23.24,1993,23,123700,"61,644",credit_card,20000,36,7.35,621,24410,62,,18-Jan
nurse practitioner,10,MI,MORTGAGE,"150,000",23.23,1993,48,756528,"197,380",debt_consolidation,15000,60,9.44,315,22080,31,,18-Feb
electrician,10,MI,MORTGAGE,"90,000",23.15,1993,32,263269,"61,387",credit_card,20000,36,6.08,609,23648,61,,18-Feb
,,SC,MORTGAGE,"34,385",23.05,1993,20,185600,"27,755",other,4000,36,14.08,137,5690,14,,18-Feb
linkages site coordinator,8,MD,RENT,"69,077",23.04,1993,16,80140,"43,078",debt_consolidation,40000,36,9.44,"1,280",51328,128,,18-Jan
manager,9,CO,MORTGAGE,"151,000",22.91,1993,19,504288,"173,577",debt_consolidation,23475,36,13.58,798,33039,80,,18-Mar
hvac technician,10,GA,MORTGAGE,"75,000",22.91,1993,27,224758,"63,799",debt_consolidation,10000,36,6.07,305,11821,30,,18-Mar
sole proprietor,10,CO,MORTGAGE,"150,000",22.67,1993,54,687833,"159,134",debt_consolidation,35000,60,12.62,790,57085,79,,18-Feb
,,MO,MORTGAGE,"75,000",22.54,1993,72,301345,"129,421",credit_card,8500,36,6.07,259,10048,26,,18-Feb
development officer,2,TX,MORTGAGE,"75,000",22.42,1993,17,271725,"29,889",debt_consolidation,16500,60,7.34,329,22556,33,,18-Mar
customer support rep,10,NJ,RENT,"45,000",22.19,1993,38,128362,"34,325",debt_consolidation,3500,36,15.05,121,5080,12,,18-Jan
truck driver,0,MN,MORTGAGE,"90,000",22.17,1993,30,341648,"50,585",credit_card,20000,36,15.04,694,29024,69,,18-Mar
clerk,10,CA,MORTGAGE,"39,000",22.09,1993,35,33200,"16,749",debt_consolidation,14000,60,21.45,382,29015,38,,18-Jan
clerk specialist,10,FL,MORTGAGE,"36,000",21.93,1993,35,110350,"14,499",debt_consolidation,15000,36,16.02,528,22209,53,,18-Jan
direct support,2,NY,RENT,"65,000",21.92,1993,33,75090,"62,056",debt_consolidation,20000,60,12.61,451,32610,45,,18-Mar
vice president,4,TX,MORTGAGE,"200,000",21.92,1993,26,440797,"104,822",credit_card,25000,36,5.32,753,28990,75,,18-Feb
radiology tech,6,PA,RENT,"42,000",21.89,1993,16,42485,"39,312",debt_consolidation,20000,36,13.58,679,28148,68,,18-Mar
